gene	spkg_name	filepath	description
phrog_32	phrog_32	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_32.hmm	tail assembly protein
phrog_33	phrog_33	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_33.hmm	distal tail protein Dit
phrog_34	phrog_34	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_34.hmm	RusA-like Holliday junction resolvase
phrog_37	phrog_37	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_37.hmm	tail terminator
phrog_38	phrog_38	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_38.hmm	terminase large subunit
phrog_39	phrog_39	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_39.hmm	tail assembly protein
phrog_40	phrog_40	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_40.hmm	head-tail adaptor Ad1
phrog_41	phrog_41	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_41.hmm	major tail protein
phrog_42	phrog_42	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_42.hmm	minor tail protein
phrog_43	phrog_43	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_43.hmm	baseplate wedge subunit
phrog_44	phrog_44	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_44.hmm	single strand DNA binding protein
phrog_45	phrog_45	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_45.hmm	tail tube
phrog_46	phrog_46	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_46.hmm	baseplate hub
phrog_47	phrog_47	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_47.hmm	DNA primase
phrog_48	phrog_48	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_48.hmm	tail protein
phrog_49	phrog_49	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_49.hmm	head decoration
phrog_50	phrog_50	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_50.hmm	DnaC-like helicase loader
phrog_51	phrog_51	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_51.hmm	terminase small subunit
phrog_52	phrog_52	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_52.hmm	tail protein
phrog_53	phrog_53	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_53.hmm	head maturation protease
phrog_54	phrog_54	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_54.hmm	DksA-like zinc-finger protein
phrog_55	phrog_55	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_55.hmm	head closure
phrog_56	phrog_56	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_56.hmm	DNA methyltransferase
phrog_57	phrog_57	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_57.hmm	terminase small subunit
phrog_58	phrog_58	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_58.hmm	tail length tape measure protein
phrog_59	phrog_59	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_59.hmm	HNH endonuclease
phrog_62	phrog_62	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_62.hmm	DNA helicase
phrog_64	phrog_64	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_64.hmm	portal protein
phrog_65	phrog_65	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_65.hmm	tail terminator
phrog_67	phrog_67	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_67.hmm	DNA methyltransferase
phrog_68	phrog_68	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_68.hmm	portal protein
phrog_69	phrog_69	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_69.hmm	exonuclease
phrog_70	phrog_70	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_70.hmm	major head protein
phrog_71	phrog_71	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_71.hmm	head-tail adaptor Ad1
phrog_72	phrog_72	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_72.hmm	NinB/ Orf homologous recombination mediator
phrog_73	phrog_73	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_73.hmm	head scaffolding protein
phrog_74	phrog_74	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_74.hmm	terminase small subunit
phrog_75	phrog_75	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_75.hmm	head-tail adaptor Ad1
phrog_76	phrog_76	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_76.hmm	tail protein
phrog_77	phrog_77	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_77.hmm	SbcC-like subunit of palindrome specific endonuclease
phrog_78	phrog_78	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_78.hmm	tail terminator
phrog_80	phrog_80	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_80.hmm	head maturation protease
phrog_82	phrog_82	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_82.hmm	head closure Hc1
phrog_83	phrog_83	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_83.hmm	terminase small subunit
phrog_84	phrog_84	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_84.hmm	ribonucleoside-diphosphate reductase large subunit
phrog_85	phrog_85	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_85.hmm	thymidylate synthase
phrog_86	phrog_86	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_86.hmm	ribonucleoside diphosphate reductase small subunit
phrog_87	phrog_87	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_87.hmm	metallo-protease
phrog_88	phrog_88	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_88.hmm	major tail protein
phrog_89	phrog_89	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_89.hmm	Rz-like spanin
phrog_90	phrog_90	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_90.hmm	endolysin
phrog_91	phrog_91	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_91.hmm	nicking at origin of replication
phrog_92	phrog_92	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_92.hmm	DNA packaging chaperone FI
phrog_93	phrog_93	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_93.hmm	endonuclease
phrog_94	phrog_94	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_94.hmm	head maturation protease
phrog_96	phrog_96	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_96.hmm	HNH endonuclease
phrog_97	phrog_97	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_97.hmm	UvsX-like recombinase
phrog_99	phrog_99	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_99.hmm	HNH endonuclease
phrog_100	phrog_100	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_100.hmm	SbcD-like subunit of palindrome specific endonuclease
phrog_102	phrog_102	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_102.hmm	endolysin
phrog_103	phrog_103	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_103.hmm	tail protein
phrog_104	phrog_104	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_104.hmm	portal protein
phrog_105	phrog_105	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_105.hmm	tail fiber assembly
phrog_106	phrog_106	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_106.hmm	minor tail protein
phrog_107	phrog_107	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_107.hmm	exonuclease
phrog_108	phrog_108	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_108.hmm	Lom outer membrane protein
phrog_109	phrog_109	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_109.hmm	P-like helicase loader
phrog_110	phrog_110	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_110.hmm	minor tail protein
phrog_111	phrog_111	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_111.hmm	DNA methyltransferase
phrog_112	phrog_112	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_112.hmm	Gp2.5-like ssDNA binding protein and ssDNA annealing protein
phrog_113	phrog_113	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_113.hmm	portal protein
phrog_114	phrog_114	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_114.hmm	ATP-dependent DNA ligase
phrog_115	phrog_115	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_115.hmm	minor head protein
phrog_116	phrog_116	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_116.hmm	DNA methyltransferase
phrog_117	phrog_117	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_117.hmm	major tail protein
phrog_118	phrog_118	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_118.hmm	head-tail adaptor
phrog_119	phrog_119	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_119.hmm	HNH endonuclease
phrog_120	phrog_120	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_120.hmm	baseplate wedge subunit
phrog_122	phrog_122	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_122.hmm	head decoration
phrog_123	phrog_123	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_123.hmm	tail terminator
phrog_124	phrog_124	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_124.hmm	Sak4-like ssDNA annealing protein
phrog_125	phrog_125	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_125.hmm	DNA invertase
phrog_126	phrog_126	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_126.hmm	holin/anti-holin
phrog_131	phrog_131	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_131.hmm	HNH endonuclease
phrog_132	phrog_132	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_132.hmm	head-tail adaptor
phrog_133	phrog_133	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_133.hmm	head maturation protease
phrog_135	phrog_135	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_135.hmm	dUTPase
phrog_136	phrog_136	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_136.hmm	tail fiber assembly protein
phrog_137	phrog_137	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_137.hmm	head-tail adaptor Ad1
phrog_138	phrog_138	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_138.hmm	major head protein
phrog_139	phrog_139	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_139.hmm	deoxynucleoside monophosphate kinase
phrog_140	phrog_140	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_140.hmm	RusA-like Holliday junction resolvase
phrog_141	phrog_141	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_141.hmm	terminase small subunit
phrog_144	phrog_144	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_144.hmm	HNH endonuclease
phrog_145	phrog_145	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_145.hmm	portal protein
phrog_146	phrog_146	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_146.hmm	portal protein
phrog_148	phrog_148	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_148.hmm	RecT-like ssDNA annealing protein
phrog_149	phrog_149	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_149.hmm	exonuclease
phrog_150	phrog_150	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_150.hmm	baseplate hub
phrog_153	phrog_153	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_153.hmm	minor tail protein
phrog_154	phrog_154	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_154.hmm	replication initiation protein
phrog_155	phrog_155	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_155.hmm	Erf-like ssDNA annealing protein
phrog_156	phrog_156	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_156.hmm	portal protein
phrog_158	phrog_158	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_158.hmm	major tail protein
phrog_159	phrog_159	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_159.hmm	RuvC-like Holliday junction resolvase
phrog_160	phrog_160	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_160.hmm	thymidylate synthase
phrog_161	phrog_161	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_161.hmm	head closure Hc1
phrog_162	phrog_162	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_162.hmm	endolysin
phrog_164	phrog_164	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_164.hmm	ParA-like partition protein
phrog_165	phrog_165	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_165.hmm	tail sheath
phrog_166	phrog_166	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_166.hmm	tail protein
phrog_167	phrog_167	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_167.hmm	tail length tape measure protein
phrog_168	phrog_168	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_168.hmm	clamp loader of DNA polymerase
phrog_169	phrog_169	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_169.hmm	tail completion or Neck1 protein
phrog_170	phrog_170	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_170.hmm	PhoH-like phosphate starvation-inducible
phrog_171	phrog_171	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_171.hmm	NinG/ Rap DNA junction specific endonuclease
phrog_172	phrog_172	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_172.hmm	head scaffolding protein
phrog_173	phrog_173	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_173.hmm	nucleoside triphosphate pyrophosphohydrolase
phrog_174	phrog_174	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_174.hmm	dCMP deaminase
phrog_175	phrog_175	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_175.hmm	holin
phrog_176	phrog_176	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_176.hmm	tail terminator
phrog_177	phrog_177	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_177.hmm	baseplate hub
phrog_178	phrog_178	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_178.hmm	high light inducible protein
phrog_179	phrog_179	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_179.hmm	tail terminator
phrog_180	phrog_180	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_180.hmm	baseplate wedge subunit
phrog_181	phrog_181	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_181.hmm	endolysin
phrog_183	phrog_183	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_183.hmm	tail chaperone protein
phrog_184	phrog_184	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_184.hmm	baseplate hub
phrog_185	phrog_185	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_185.hmm	tail tube protein
phrog_186	phrog_186	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_186.hmm	DnaD-like helicase loader
phrog_187	phrog_187	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_187.hmm	head-tail adaptor
phrog_188	phrog_188	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_188.hmm	tail fiber assembly protein
phrog_189	phrog_189	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_189.hmm	RecA filament binding protein DinI
phrog_190	phrog_190	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_190.hmm	Holliday junction resolvase
phrog_192	phrog_192	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_192.hmm	DNA polymerase exonuclease subunit
phrog_193	phrog_193	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_193.hmm	head maturation protease
phrog_194	phrog_194	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_194.hmm	head scaffolding protein
phrog_195	phrog_195	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_195.hmm	head-tail adaptor
phrog_196	phrog_196	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_196.hmm	baseplate hub
phrog_198	phrog_198	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_198.hmm	holin
phrog_199	phrog_199	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_199.hmm	holin
phrog_200	phrog_200	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_200.hmm	lipoprotein
phrog_201	phrog_201	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_201.hmm	Panton-Valentine leukocicin
phrog_202	phrog_202	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_202.hmm	distal tail protein Dit
phrog_203	phrog_203	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_203.hmm	baseplate wedge subunit
phrog_205	phrog_205	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_205.hmm	tail sheath
phrog_206	phrog_206	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_206.hmm	head scaffolding protein
phrog_207	phrog_207	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_207.hmm	head maturation protease
phrog_209	phrog_209	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_209.hmm	portal protein
phrog_211	phrog_211	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_211.hmm	head-tail adaptor Ad2
phrog_212	phrog_212	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_212.hmm	major head protein
phrog_213	phrog_213	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_213.hmm	portal protein
phrog_214	phrog_214	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_214.hmm	Rz-like spanin
phrog_215	phrog_215	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_215.hmm	structural protein with Ig domain
phrog_217	phrog_217	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_217.hmm	holin
phrog_218	phrog_218	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_218.hmm	head closure
phrog_219	phrog_219	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_219.hmm	baseplate wedge subunit
phrog_220	phrog_220	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_220.hmm	minor head protein and DNA pilot
phrog_221	phrog_221	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_221.hmm	metallo-phosphoesterase
phrog_222	phrog_222	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_222.hmm	tail completion or Neck1 protein
phrog_223	phrog_223	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_223.hmm	DNA polymerase processivity factor
