tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
g__Nocardia,f__Nocardiaceae,genus,g__Nocardia,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,g__Nocardia,
s__Nocardia_paucivorans,g__Nocardia,species,s__Nocardia_paucivorans,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,g__Nocardia,s__Nocardia_paucivorans
o__Sphingomonadales,c__Alphaproteobacteria,order,o__Sphingomonadales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,,,
f__Sphingomonadaceae,o__Sphingomonadales,family,f__Sphingomonadaceae,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,,
g__Zymomonas,f__Sphingomonadaceae,genus,g__Zymomonas,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Zymomonas,
s__Zymomonas_mobilis,g__Zymomonas,species,s__Zymomonas_mobilis,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Zymomonas,s__Zymomonas_mobilis
f__Corynebacteriaceae,o__Actinomycetales,family,f__Corynebacteriaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,,
g__Corynebacterium,f__Corynebacteriaceae,genus,g__Corynebacterium,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,
s__Corynebacterium_sp._KPL1855,g__Corynebacterium,species,s__Corynebacterium_sp._KPL1855,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_sp._KPL1855
f__Propionibacteriaceae,o__Actinomycetales,family,f__Propionibacteriaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Propionibacteriaceae,,
g__Propionibacterium,f__Propionibacteriaceae,genus,g__Propionibacterium,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Propionibacteriaceae,g__Propionibacterium,
s__Propionibacterium_sp._KPL1847,g__Propionibacterium,species,s__Propionibacterium_sp._KPL1847,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Propionibacteriaceae,g__Propionibacterium,s__Propionibacterium_sp._KPL1847
c__Clostridia,p__Firmicutes,class,c__Clostridia,Root,d__Bacteria,p__Firmicutes,c__Clostridia,,,,
o__Clostridiales,c__Clostridia,order,o__Clostridiales,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,,,
f__Lachnospiraceae,o__Clostridiales,family,f__Lachnospiraceae,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,,
g__[Lachnospiraceae_bacterium_NK4A136],f__Lachnospiraceae,genus,g__[Lachnospiraceae_bacterium_NK4A136],Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__[Lachnospiraceae_bacterium_NK4A136],
s__Lachnospiraceae_bacterium_NK4A136,g__[Lachnospiraceae_bacterium_NK4A136],species,s__Lachnospiraceae_bacterium_NK4A136,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__[Lachnospiraceae_bacterium_NK4A136],s__Lachnospiraceae_bacterium_NK4A136
c__Betaproteobacteria,p__Proteobacteria,class,c__Betaproteobacteria,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,,,,
o__Burkholderiales,c__Betaproteobacteria,order,o__Burkholderiales,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,,,
f__Burkholderiaceae,o__Burkholderiales,family,f__Burkholderiaceae,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,,
g__Cupriavidus,f__Burkholderiaceae,genus,g__Cupriavidus,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus,
s__Cupriavidus_sp._HMR-1,g__Cupriavidus,species,s__Cupriavidus_sp._HMR-1,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus,s__Cupriavidus_sp._HMR-1
g__[Lachnospiraceae_bacterium_NK4A179],f__Lachnospiraceae,genus,g__[Lachnospiraceae_bacterium_NK4A179],Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__[Lachnospiraceae_bacterium_NK4A179],
s__Lachnospiraceae_bacterium_NK4A179,g__[Lachnospiraceae_bacterium_NK4A179],species,s__Lachnospiraceae_bacterium_NK4A179,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__[Lachnospiraceae_bacterium_NK4A179],s__Lachnospiraceae_bacterium_NK4A179
p__Fusobacteria,d__Bacteria,phylum,p__Fusobacteria,Root,d__Bacteria,p__Fusobacteria,,,,,
c__Fusobacteriia,p__Fusobacteria,class,c__Fusobacteriia,Root,d__Bacteria,p__Fusobacteria,c__Fusobacteriia,,,,
o__Fusobacteriales,c__Fusobacteriia,order,o__Fusobacteriales,Root,d__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,,,
f__Fusobacteriaceae,o__Fusobacteriales,family,f__Fusobacteriaceae,Root,d__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,,
g__Fusobacterium,f__Fusobacteriaceae,genus,g__Fusobacterium,Root,d__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,
s__Fusobacterium_gonidiaformans,g__Fusobacterium,species,s__Fusobacterium_gonidiaformans,Root,d__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium_gonidiaformans
c__Negativicutes,p__Firmicutes,class,c__Negativicutes,Root,d__Bacteria,p__Firmicutes,c__Negativicutes,,,,
o__Selenomonadales,c__Negativicutes,order,o__Selenomonadales,Root,d__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,,,
f__Veillonellaceae,o__Selenomonadales,family,f__Veillonellaceae,Root,d__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,,
g__Selenomonas,f__Veillonellaceae,genus,g__Selenomonas,Root,d__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Selenomonas,
s__Selenomonas_sputigena,g__Selenomonas,species,s__Selenomonas_sputigena,Root,d__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Selenomonas,s__Selenomonas_sputigena
f__Alcaligenaceae,o__Burkholderiales,family,f__Alcaligenaceae,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,,
g__Pusillimonas,f__Alcaligenaceae,genus,g__Pusillimonas,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Pusillimonas,
s__Pusillimonas_sp._T7-7,g__Pusillimonas,species,s__Pusillimonas_sp._T7-7,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Pusillimonas,s__Pusillimonas_sp._T7-7
p__Chlamydiae,d__Bacteria,phylum,p__Chlamydiae,Root,d__Bacteria,p__Chlamydiae,,,,,
c__Chlamydiia,p__Chlamydiae,class,c__Chlamydiia,Root,d__Bacteria,p__Chlamydiae,c__Chlamydiia,,,,
o__Chlamydiales,c__Chlamydiia,order,o__Chlamydiales,Root,d__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,,,
f__Parachlamydiaceae,o__Chlamydiales,family,f__Parachlamydiaceae,Root,d__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,,
g__Parachlamydia,f__Parachlamydiaceae,genus,g__Parachlamydia,Root,d__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,g__Parachlamydia,
s__Parachlamydia_acanthamoebae,g__Parachlamydia,species,s__Parachlamydia_acanthamoebae,Root,d__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,g__Parachlamydia,s__Parachlamydia_acanthamoebae
o__Thermoanaerobacterales,c__Clostridia,order,o__Thermoanaerobacterales,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,,,
f__Thermodesulfobiaceae,o__Thermoanaerobacterales,family,f__Thermodesulfobiaceae,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermodesulfobiaceae,,
g__Thermodesulfobium,f__Thermodesulfobiaceae,genus,g__Thermodesulfobium,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermodesulfobiaceae,g__Thermodesulfobium,
s__Thermodesulfobium_narugense,g__Thermodesulfobium,species,s__Thermodesulfobium_narugense,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermodesulfobiaceae,g__Thermodesulfobium,s__Thermodesulfobium_narugense
p__Bacteroidetes,d__Bacteria,phylum,p__Bacteroidetes,Root,d__Bacteria,p__Bacteroidetes,,,,,
c__Sphingobacteriia,p__Bacteroidetes,class,c__Sphingobacteriia,Root,d__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,,,,
o__Sphingobacteriales,c__Sphingobacteriia,order,o__Sphingobacteriales,Root,d__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,,,
f__Saprospiraceae,o__Sphingobacteriales,family,f__Saprospiraceae,Root,d__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Saprospiraceae,,
g__Haliscomenobacter,f__Saprospiraceae,genus,g__Haliscomenobacter,Root,d__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Saprospiraceae,g__Haliscomenobacter,
s__Haliscomenobacter_hydrossis,g__Haliscomenobacter,species,s__Haliscomenobacter_hydrossis,Root,d__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Saprospiraceae,g__Haliscomenobacter,s__Haliscomenobacter_hydrossis
c__Gammaproteobacteria,p__Proteobacteria,class,c__Gammaproteobacteria,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
o__Thiotrichales,c__Gammaproteobacteria,order,o__Thiotrichales,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,,,
f__Thiotrichaceae,o__Thiotrichales,family,f__Thiotrichaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,,
g__Beggiatoa,f__Thiotrichaceae,genus,g__Beggiatoa,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Beggiatoa,
s__Beggiatoa_alba,g__Beggiatoa,species,s__Beggiatoa_alba,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Beggiatoa,s__Beggiatoa_alba
o__Rhodocyclales,c__Betaproteobacteria,order,o__Rhodocyclales,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,,,
f__Rhodocyclaceae,o__Rhodocyclales,family,f__Rhodocyclaceae,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,,
g__Azospira,f__Rhodocyclaceae,genus,g__Azospira,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azospira,
s__Azospira_oryzae,g__Azospira,species,s__Azospira_oryzae,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azospira,s__Azospira_oryzae
c__Epsilonproteobacteria,p__Proteobacteria,class,c__Epsilonproteobacteria,Root,d__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,,,,
o__Campylobacterales,c__Epsilonproteobacteria,order,o__Campylobacterales,Root,d__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,,,
f__Helicobacteraceae,o__Campylobacterales,family,f__Helicobacteraceae,Root,d__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,,
g__Helicobacter,f__Helicobacteraceae,genus,g__Helicobacter,Root,d__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,
s__Helicobacter_canadensis,g__Helicobacter,species,s__Helicobacter_canadensis,Root,d__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_canadensis
o__Bacillales,c__Bacilli,order,o__Bacillales,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,,,
f__Planococcaceae,o__Bacillales,family,f__Planococcaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,,
g__Bhargavaea,f__Planococcaceae,genus,g__Bhargavaea,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Bhargavaea,
s__Bhargavaea_cecembensis,g__Bhargavaea,species,s__Bhargavaea_cecembensis,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Bhargavaea,s__Bhargavaea_cecembensis
c__[Firmicutes_bacterium_M10-2],p__Firmicutes,class,c__[Firmicutes_bacterium_M10-2],Root,d__Bacteria,p__Firmicutes,c__[Firmicutes_bacterium_M10-2],,,,
o__[Firmicutes_bacterium_M10-2],c__[Firmicutes_bacterium_M10-2],order,o__[Firmicutes_bacterium_M10-2],Root,d__Bacteria,p__Firmicutes,c__[Firmicutes_bacterium_M10-2],o__[Firmicutes_bacterium_M10-2],,,
f__[Firmicutes_bacterium_M10-2],o__[Firmicutes_bacterium_M10-2],family,f__[Firmicutes_bacterium_M10-2],Root,d__Bacteria,p__Firmicutes,c__[Firmicutes_bacterium_M10-2],o__[Firmicutes_bacterium_M10-2],f__[Firmicutes_bacterium_M10-2],,
g__[Firmicutes_bacterium_M10-2],f__[Firmicutes_bacterium_M10-2],genus,g__[Firmicutes_bacterium_M10-2],Root,d__Bacteria,p__Firmicutes,c__[Firmicutes_bacterium_M10-2],o__[Firmicutes_bacterium_M10-2],f__[Firmicutes_bacterium_M10-2],g__[Firmicutes_bacterium_M10-2],
s__Firmicutes_bacterium_M10-2,g__[Firmicutes_bacterium_M10-2],species,s__Firmicutes_bacterium_M10-2,Root,d__Bacteria,p__Firmicutes,c__[Firmicutes_bacterium_M10-2],o__[Firmicutes_bacterium_M10-2],f__[Firmicutes_bacterium_M10-2],g__[Firmicutes_bacterium_M10-2],s__Firmicutes_bacterium_M10-2
p__Acidobacteria,d__Bacteria,phylum,p__Acidobacteria,Root,d__Bacteria,p__Acidobacteria,,,,,
c__Acidobacteriia,p__Acidobacteria,class,c__Acidobacteriia,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,,,,
o__Acidobacteriales,c__Acidobacteriia,order,o__Acidobacteriales,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,,,
f__Acidobacteriaceae,o__Acidobacteriales,family,f__Acidobacteriaceae,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,,
g__[Acidobacteriaceae_bacterium_KBS_96],f__Acidobacteriaceae,genus,g__[Acidobacteriaceae_bacterium_KBS_96],Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__[Acidobacteriaceae_bacterium_KBS_96],
s__Acidobacteriaceae_bacterium_KBS_96,g__[Acidobacteriaceae_bacterium_KBS_96],species,s__Acidobacteriaceae_bacterium_KBS_96,Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__[Acidobacteriaceae_bacterium_KBS_96],s__Acidobacteriaceae_bacterium_KBS_96
f__Peptostreptococcaceae,o__Clostridiales,family,f__Peptostreptococcaceae,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,,
g__Peptoclostridium,f__Peptostreptococcaceae,genus,g__Peptoclostridium,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Peptoclostridium,
s__[Clostridium]_bifermentans,g__Peptoclostridium,species,s__[Clostridium]_bifermentans,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Peptoclostridium,s__[Clostridium]_bifermentans
f__Aerococcaceae,o__Lactobacillales,family,f__Aerococcaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,,
g__Eremococcus,f__Aerococcaceae,genus,g__Eremococcus,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Eremococcus,
s__Eremococcus_coleocola,g__Eremococcus,species,s__Eremococcus_coleocola,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Eremococcus,s__Eremococcus_coleocola
o__Oceanospirillales,c__Gammaproteobacteria,order,o__Oceanospirillales,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,,,
f__Halomonadaceae,o__Oceanospirillales,family,f__Halomonadaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,,
g__Halomonas,f__Halomonadaceae,genus,g__Halomonas,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,g__Halomonas,
s__Halomonas_anticariensis,g__Halomonas,species,s__Halomonas_anticariensis,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,g__Halomonas,s__Halomonas_anticariensis
c__Flavobacteriia,p__Bacteroidetes,class,c__Flavobacteriia,Root,d__Bacteria,p__Bacteroidetes,c__Flavobacteriia,,,,
o__Flavobacteriales,c__Flavobacteriia,order,o__Flavobacteriales,Root,d__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,,,
f__Flavobacteriaceae,o__Flavobacteriales,family,f__Flavobacteriaceae,Root,d__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,,
g__Muricauda,f__Flavobacteriaceae,genus,g__Muricauda,Root,d__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Muricauda,
s__Muricauda_sp._MAR_2010_75,g__Muricauda,species,s__Muricauda_sp._MAR_2010_75,Root,d__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Muricauda,s__Muricauda_sp._MAR_2010_75
f__Lactobacillaceae,o__Lactobacillales,family,f__Lactobacillaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,,
g__Lactobacillus,f__Lactobacillaceae,genus,g__Lactobacillus,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,
s__Lactobacillus_fabifermentans,g__Lactobacillus,species,s__Lactobacillus_fabifermentans,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_fabifermentans
o__Rhodobacterales,c__Alphaproteobacteria,order,o__Rhodobacterales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,,,
f__Rhodobacteraceae,o__Rhodobacterales,family,f__Rhodobacteraceae,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
g__Roseivivax,f__Rhodobacteraceae,genus,g__Roseivivax,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Roseivivax,
s__Roseivivax_halodurans,g__Roseivivax,species,s__Roseivivax_halodurans,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Roseivivax,s__Roseivivax_halodurans
f__Ruminococcaceae,o__Clostridiales,family,f__Ruminococcaceae,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,,
g__Anaerotruncus,f__Ruminococcaceae,genus,g__Anaerotruncus,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Anaerotruncus,
s__Anaerotruncus_sp._G3(2012),g__Anaerotruncus,species,s__Anaerotruncus_sp._G3(2012),Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Anaerotruncus,s__Anaerotruncus_sp._G3(2012)
f__Eubacteriaceae,o__Clostridiales,family,f__Eubacteriaceae,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,,
g__Eubacterium,f__Eubacteriaceae,genus,g__Eubacterium,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,
s__Eubacterium_plexicaudatum,g__Eubacterium,species,s__Eubacterium_plexicaudatum,Root,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_plexicaudatum
c__Bacteroidia,p__Bacteroidetes,class,c__Bacteroidia,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,,,,
o__Bacteroidales,c__Bacteroidia,order,o__Bacteroidales,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
f__Prevotellaceae,o__Bacteroidales,family,f__Prevotellaceae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,,
g__Prevotella,f__Prevotellaceae,genus,g__Prevotella,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,
s__Prevotella_enoeca,g__Prevotella,species,s__Prevotella_enoeca,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_enoeca
o__Enterobacteriales,c__Gammaproteobacteria,order,o__Enterobacteriales,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,,,
f__Enterobacteriaceae,o__Enterobacteriales,family,f__Enterobacteriaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,,
