tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
g__Streptomyces,f__Streptomycetaceae,genus,g__Streptomyces,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,
f__[Tissierellaceae],o__Clostridiales,family,f__[Tissierellaceae],Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],,
g__Parvimonas,f__[Tissierellaceae],genus,g__Parvimonas,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Parvimonas,
s__micra,g__Parvimonas,species,s__micra,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Parvimonas,s__micra
c__Bacilli,p__Firmicutes,class,c__Bacilli,Root,k__Bacteria,p__Firmicutes,c__Bacilli,,,,
o__Lactobacillales,c__Bacilli,order,o__Lactobacillales,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,,,
f__Enterococcaceae,o__Lactobacillales,family,f__Enterococcaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,,
g__Enterococcus,f__Enterococcaceae,genus,g__Enterococcus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,
o__Enterobacteriales,c__Gammaproteobacteria,order,o__Enterobacteriales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,,,
f__Enterobacteriaceae,o__Enterobacteriales,family,f__Enterobacteriaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,,
c__Betaproteobacteria,p__Proteobacteria,class,c__Betaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,,,,
o__Neisseriales,c__Betaproteobacteria,order,o__Neisseriales,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,,,
f__Neisseriaceae,o__Neisseriales,family,f__Neisseriaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,,
g__Neisseria,f__Neisseriaceae,genus,g__Neisseria,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,
g__Erwinia,f__Enterobacteriaceae,genus,g__Erwinia,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Erwinia,
s__faecalis,g__Enterococcus,species,s__faecalis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__faecalis
c__Erysipelotrichia,p__Firmicutes,class,c__Erysipelotrichia,Root,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,,,,
o__Erysipelotrichales,c__Erysipelotrichia,order,o__Erysipelotrichales,Root,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,,,
f__Erysipelotrichaceae,o__Erysipelotrichales,family,f__Erysipelotrichaceae,Root,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,,
g__Allobaculum,f__Erysipelotrichaceae,genus,g__Allobaculum,Root,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Allobaculum,
c__Alphaproteobacteria,p__Proteobacteria,class,c__Alphaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
o__Rhodobacterales,c__Alphaproteobacteria,order,o__Rhodobacterales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,,,
f__Rhodobacteraceae,o__Rhodobacterales,family,f__Rhodobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
g__Dickeya,f__Enterobacteriaceae,genus,g__Dickeya,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Dickeya,
p__Bacteroidetes,k__Bacteria,phylum,p__Bacteroidetes,Root,k__Bacteria,p__Bacteroidetes,,,,,
c__Cytophagia,p__Bacteroidetes,class,c__Cytophagia,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,,,,
o__Cytophagales,c__Cytophagia,order,o__Cytophagales,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,,,
f__Cytophagaceae,o__Cytophagales,family,f__Cytophagaceae,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,,
g__Dyadobacter,f__Cytophagaceae,genus,g__Dyadobacter,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Dyadobacter,
g__Edwardsiella,f__Enterobacteriaceae,genus,g__Edwardsiella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Edwardsiella,
c__Coriobacteriia,p__Actinobacteria,class,c__Coriobacteriia,Root,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,,,,
o__Coriobacteriales,c__Coriobacteriia,order,o__Coriobacteriales,Root,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,,,
f__Coriobacteriaceae,o__Coriobacteriales,family,f__Coriobacteriaceae,Root,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,,
g__Eggerthella,f__Coriobacteriaceae,genus,g__Eggerthella,Root,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Eggerthella,
f__Lactobacillaceae,o__Lactobacillales,family,f__Lactobacillaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,,
g__Lactobacillus,f__Lactobacillaceae,genus,g__Lactobacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,
s__crispatus,g__Lactobacillus,species,s__crispatus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__crispatus
p__[Epsilonae],k__Bacteria,phylum,p__[Epsilonae],Root,k__Bacteria,p__[Epsilonae],,,,,
c__Epsilonproteobacteria,p__[Epsilonae],class,c__Epsilonproteobacteria,Root,k__Bacteria,p__[Epsilonae],c__Epsilonproteobacteria,,,,
o__Campylobacterales,c__Epsilonproteobacteria,order,o__Campylobacterales,Root,k__Bacteria,p__[Epsilonae],c__Epsilonproteobacteria,o__Campylobacterales,,,
f__Helicobacteraceae,o__Campylobacterales,family,f__Helicobacteraceae,Root,k__Bacteria,p__[Epsilonae],c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,,
g__Helicobacter,f__Helicobacteraceae,genus,g__Helicobacter,Root,k__Bacteria,p__[Epsilonae],c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,
k__Archaea,Root,kingdom,k__Archaea,Root,k__Archaea,,,,,,
p__Euryarchaeota,k__Archaea,phylum,p__Euryarchaeota,Root,k__Archaea,p__Euryarchaeota,,,,,
c__Halobacteria,p__Euryarchaeota,class,c__Halobacteria,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,,,,
o__Halobacteriales,c__Halobacteria,order,o__Halobacteriales,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,,,
f__Halobacteriaceae,o__Halobacteriales,family,f__Halobacteriaceae,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,,
o__Bacillales,c__Bacilli,order,o__Bacillales,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,,,
f__Bacillaceae,o__Bacillales,family,f__Bacillaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,,
g__Geobacillus,f__Bacillaceae,genus,g__Geobacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,
c__Archaeoglobi,p__Euryarchaeota,class,c__Archaeoglobi,Root,k__Archaea,p__Euryarchaeota,c__Archaeoglobi,,,,
o__Archaeoglobales,c__Archaeoglobi,order,o__Archaeoglobales,Root,k__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,,,
f__Archaeoglobaceae,o__Archaeoglobales,family,f__Archaeoglobaceae,Root,k__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,,
g__Archaeoglobus,f__Archaeoglobaceae,genus,g__Archaeoglobus,Root,k__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus,
c__Deltaproteobacteria,p__Proteobacteria,class,c__Deltaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,,,,
f__Lachnospiraceae,o__Clostridiales,family,f__Lachnospiraceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,,
g__Ruminococcus,f__Lachnospiraceae,genus,g__Ruminococcus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Ruminococcus,
s__obeum,g__Ruminococcus,species,s__obeum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Ruminococcus,s__obeum
c__[Saprospirae],p__Bacteroidetes,class,c__[Saprospirae],Root,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],,,,
o__[Saprospirales],c__[Saprospirae],order,o__[Saprospirales],Root,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],,,
f__Saprospiraceae,o__[Saprospirales],family,f__Saprospiraceae,Root,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Saprospiraceae,,
g__Lewinella,f__Saprospiraceae,genus,g__Lewinella,Root,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Saprospiraceae,g__Lewinella,
f__Planococcaceae,o__Bacillales,family,f__Planococcaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,,
o__Rhodospirillales,c__Alphaproteobacteria,order,o__Rhodospirillales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,,,
o__Pseudomonadales,c__Gammaproteobacteria,order,o__Pseudomonadales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,,,
f__Moraxellaceae,o__Pseudomonadales,family,f__Moraxellaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,,
f__Oscillospiraceae,o__Clostridiales,family,f__Oscillospiraceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Oscillospiraceae,,
g__Flavonifractor,f__Oscillospiraceae,genus,g__Flavonifractor,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Oscillospiraceae,g__Flavonifractor,
p__Thermi,k__Bacteria,phylum,p__Thermi,Root,k__Bacteria,p__Thermi,,,,,
c__Deinococci,p__Thermi,class,c__Deinococci,Root,k__Bacteria,p__Thermi,c__Deinococci,,,,
o__Deinococcales,c__Deinococci,order,o__Deinococcales,Root,k__Bacteria,p__Thermi,c__Deinococci,o__Deinococcales,,,
f__Deinococcaceae,o__Deinococcales,family,f__Deinococcaceae,Root,k__Bacteria,p__Thermi,c__Deinococci,o__Deinococcales,f__Deinococcaceae,,
g__Deinococcus,f__Deinococcaceae,genus,g__Deinococcus,Root,k__Bacteria,p__Thermi,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,
o__Vibrionales,c__Gammaproteobacteria,order,o__Vibrionales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,,,
f__Vibrionaceae,o__Vibrionales,family,f__Vibrionaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,,
g__Vibrio,f__Vibrionaceae,genus,g__Vibrio,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,
g__Buchnera,f__Enterobacteriaceae,genus,g__Buchnera,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Buchnera,
s__aphidicola,g__Buchnera,species,s__aphidicola,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Buchnera,s__aphidicola
o__Desulfovibrionales,c__Deltaproteobacteria,order,o__Desulfovibrionales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,,,
g__Actinobacillus,f__Pasteurellaceae,genus,g__Actinobacillus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Actinobacillus,
c__Bacteroidia,p__Bacteroidetes,class,c__Bacteroidia,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,,,,
o__Bacteroidales,c__Bacteroidia,order,o__Bacteroidales,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
f__Bacteroidaceae,o__Bacteroidales,family,f__Bacteroidaceae,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,,
g__Bacteroides,f__Bacteroidaceae,genus,g__Bacteroides,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,
p__Verrucomicrobia,k__Bacteria,phylum,p__Verrucomicrobia,Root,k__Bacteria,p__Verrucomicrobia,,,,,
c__Spartobacteria,p__Verrucomicrobia,class,c__Spartobacteria,Root,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,,,,
o__[Chthoniobacterales],c__Spartobacteria,order,o__[Chthoniobacterales],Root,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,o__[Chthoniobacterales],,,
f__[Chthoniobacteraceae],o__[Chthoniobacterales],family,f__[Chthoniobacteraceae],Root,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,o__[Chthoniobacterales],f__[Chthoniobacteraceae],,
p__Spirochaetes,k__Bacteria,phylum,p__Spirochaetes,Root,k__Bacteria,p__Spirochaetes,,,,,
c__Spirochaetia,p__Spirochaetes,class,c__Spirochaetia,Root,k__Bacteria,p__Spirochaetes,c__Spirochaetia,,,,
o__Spirochaetales,c__Spirochaetia,order,o__Spirochaetales,Root,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,,,
f__Spirochaetaceae,o__Spirochaetales,family,f__Spirochaetaceae,Root,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,,
g__Borrelia,f__Spirochaetaceae,genus,g__Borrelia,Root,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Borrelia,
p__Planctomycetes,k__Bacteria,phylum,p__Planctomycetes,Root,k__Bacteria,p__Planctomycetes,,,,,
c__Planctomycetia,p__Planctomycetes,class,c__Planctomycetia,Root,k__Bacteria,p__Planctomycetes,c__Planctomycetia,,,,
o__Gemmatales,c__Planctomycetia,order,o__Gemmatales,Root,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,,,
g__Dorea,f__Lachnospiraceae,genus,g__Dorea,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea,
s__longicatena,g__Dorea,species,s__longicatena,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea,s__longicatena
p__Thermodesulfobacteria,k__Bacteria,phylum,p__Thermodesulfobacteria,Root,k__Bacteria,p__Thermodesulfobacteria,,,,,
g__Bacillus,f__Bacillaceae,genus,g__Bacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,
o__Rhizobiales,c__Alphaproteobacteria,order,o__Rhizobiales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,,,
f__Rhodospirillales,o__Rhodospirillales,family,f__Rhodospirillales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillales,,
g__Azospirillum,f__Rhodospirillales,genus,g__Azospirillum,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillales,g__Azospirillum,
g__Spirosoma,f__Cytophagaceae,genus,g__Spirosoma,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Spirosoma,
f__Paenibacillaceae,o__Bacillales,family,f__Paenibacillaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,,
g__Saccharibacillus,f__Paenibacillaceae,genus,g__Saccharibacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Saccharibacillus,
o__Corynebacteriales,c__Actinobacteria,order,o__Corynebacteriales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,,,
f__Mycobacteriaceae,o__Corynebacteriales,family,f__Mycobacteriaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,,
g__Mycobacterium,f__Mycobacteriaceae,genus,g__Mycobacterium,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,
p__Tenericutes,k__Bacteria,phylum,p__Tenericutes,Root,k__Bacteria,p__Tenericutes,,,,,
c__Mollicutes,p__Tenericutes,class,c__Mollicutes,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,,,,
o__Haloplasmatales,c__Mollicutes,order,o__Haloplasmatales,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Haloplasmatales,,,
f__Haloplasmataceae,o__Haloplasmatales,family,f__Haloplasmataceae,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Haloplasmatales,f__Haloplasmataceae,,
g__Turicibacter,f__Haloplasmataceae,genus,g__Turicibacter,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Haloplasmatales,f__Haloplasmataceae,g__Turicibacter,
f__Peptococcaceae,o__Clostridiales,family,f__Peptococcaceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,,
g__Desulfosporosinus,f__Peptococcaceae,genus,g__Desulfosporosinus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfosporosinus,
o__[Pelagibacterales],c__Alphaproteobacteria,order,o__[Pelagibacterales],Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__[Pelagibacterales],,,
f__[Pelagibacteraceae],o__[Pelagibacterales],family,f__[Pelagibacteraceae],Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__[Pelagibacterales],f__[Pelagibacteraceae],,
g__Candidatus_Pelagibacter,f__[Pelagibacteraceae],genus,g__Candidatus_Pelagibacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__[Pelagibacterales],f__[Pelagibacteraceae],g__Candidatus_Pelagibacter,
s__ubique,g__Candidatus_Pelagibacter,species,s__ubique,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__[Pelagibacterales],f__[Pelagibacteraceae],g__Candidatus_Pelagibacter,s__ubique
g__Eubacterium,f__Lachnospiraceae,genus,g__Eubacterium,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Eubacterium,
s__saburreum,g__Eubacterium,species,s__saburreum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Eubacterium,s__saburreum
f__Bradyrhizobiaceae,o__Rhizobiales,family,f__Bradyrhizobiaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,,
g__Bradyrhizobium,f__Bradyrhizobiaceae,genus,g__Bradyrhizobium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,
s__elkanii,g__Bradyrhizobium,species,s__elkanii,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__elkanii
g__Saprospira,f__Saprospiraceae,genus,g__Saprospira,Root,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Saprospiraceae,g__Saprospira,
o__Pseudonocardiales,c__Actinobacteria,order,o__Pseudonocardiales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,,,
f__Pseudonocardiaceae,o__Pseudonocardiales,family,f__Pseudonocardiaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,,
g__Amycolatopsis,f__Pseudonocardiaceae,genus,g__Amycolatopsis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Amycolatopsis,
g__Hafnia,f__Enterobacteriaceae,genus,g__Hafnia,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Hafnia,
c__Sphingobacteriia,p__Bacteroidetes,class,c__Sphingobacteriia,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,,,,
o__Sphingobacteriales,c__Sphingobacteriia,order,o__Sphingobacteriales,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,,,
f__Sphingobacteriaceae,o__Sphingobacteriales,family,f__Sphingobacteriaceae,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,,
g__Olivibacter,f__Sphingobacteriaceae,genus,g__Olivibacter,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Olivibacter,
o__Burkholderiales,c__Betaproteobacteria,order,o__Burkholderiales,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,,,
f__Oxalobacteraceae,o__Burkholderiales,family,f__Oxalobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,,
g__Oxalobacter,f__Oxalobacteraceae,genus,g__Oxalobacter,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Oxalobacter,
s__formigenes,g__Oxalobacter,species,s__formigenes,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Oxalobacter,s__formigenes
g__Photobacterium,f__Vibrionaceae,genus,g__Photobacterium,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Photobacterium,
g__Nitrobacter,f__Bradyrhizobiaceae,genus,g__Nitrobacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Nitrobacter,
o__Alteromonadales,c__Gammaproteobacteria,order,o__Alteromonadales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,,,
f__Alteromonadaceae,o__Alteromonadales,family,f__Alteromonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,,
g__Dasania,f__Alteromonadaceae,genus,g__Dasania,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Dasania,
f__[Halobacillaceae],o__Bacillales,family,f__[Halobacillaceae],Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__[Halobacillaceae],,
c__Methanobacteria,p__Euryarchaeota,class,c__Methanobacteria,Root,k__Archaea,p__Euryarchaeota,c__Methanobacteria,,,,
o__Methanobacteriales,c__Methanobacteria,order,o__Methanobacteriales,Root,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,,,
f__Methanobacteriaceae,o__Methanobacteriales,family,f__Methanobacteriaceae,Root,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,,
